kic,tmass_id,mass
2569137,19203326+3750123,1.162
2569360,19203934+3748048,1.078
2569618,19204624+3749105,1.164
2569935,19205338+3748282,0.883
2569945,19205368+3750236,1.126
2570172,19205958+3748108,1.184
2570214,19210052+3750188,1.056
2570384,19210604+3752049,1.003
2570518,19211007+3750008,1.099
2570715,19211713+3748039,1.303
2572089,19222821+3752242,1.979
2573092,19232571+3752335,1.610
2575024,19251086+3753550,1.265
2576417,19262042+3749476,1.109
2578198,19274843+3753327,1.289
2578581,19280778+3750068,1.230
2579142,19283738+3750548,1.128
2579661,19290451+3753345,1.426
2580691,19295811+3748244,1.067
2581533,19304455+3753015,1.379
2583386,19321986+3751336,1.799
2583884,19324627+3751249,1.856
2584477,19331715+3749192,1.212
2584478,19331716+3753593,1.254
2693261,19034982+3755463,1.405
2693967,19044478+3757204,2.488
2695267,19061931+3756414,0.915
2695975,19071591+3756306,1.239
2696115,19072857+3757078,2.027
2696628,19080792+3758059,1.105
2696732,19081605+3757052,1.210
2696739,19081665+3755043,1.167
2697082,19084201+3756199,2.134
2697501,19091637+3754037,2.011
2709877,19225059+3755438,0.881
2710002,19225766+3756063,1.049
2710194,19230991+3755447,1.092
2710472,19232588+3755303,1.489
2711432,19242115+3758141,0.997
2711477,19242353+3759496,0.912
2712761,19252992+3759159,1.105
2713305,19255860+3757452,1.251
2714090,19263881+3758455,1.833
2714397,19265491+3756300,1.058
2714785,19271735+3755229,1.009
2716608,19285203+3754010,2.783
2719113,19310386+3759524,1.103
2719795,19313875+3758224,1.216
2720096,19315497+3754393,1.555
2720777,19323113+3758399,1.551
2831788,19025800+3801446,1.250
2831815,19025956+3802049,0.997
2832426,19034933+3800119,1.449
2834230,19060000+3803403,2.624
2835067,19070896+3803201,1.280
2835283,19072576+3804419,0.974
2835657,19075631+3804160,1.375
2835720,19080077+3803579,1.145
2836038,19082467+3805588,1.348
2837276,19095805+3801201,1.175
2845408,19191455+3805185,2.857
2846051,19195297+3800069,1.374
2846659,19202786+3800415,0.992
2846944,19204543+3801187,0.874
2847114,19205548+3800385,0.966
2847821,19214019+3802394,0.920
2847978,19215023+3804207,0.902
2848887,19224052+3802014,1.420
2849476,19231591+3801262,1.531
2850010,19234251+3802373,1.533
2850480,19240900+3801141,1.172
2854297,19272145+3800113,0.976
2856328,19290103+3803497,1.352
2856795,19292444+3801077,2.221
2858440,19304793+3800478,1.742
2860010,19320975+3800165,2.074
2860746,19324674+3804184,1.041
2970396,19035480+3811344,1.030
2970584,19040919+3810112,1.030
2971432,19051644+3806264,1.446
2972545,19064769+3809487,1.473
2972876,19071422+3806375,2.192
2973238,19074383+3810198,1.807
2973894,19083567+3807130,0.854
2975717,19105228+3808309,0.996
2984102,19202430+3809412,2.829
2984382,19203953+3810181,1.402
2987113,19232525+3809143,1.354
2988295,19243289+3807545,1.033
2988638,19244988+3807300,2.232
2988988,19250923+3808230,1.435
2990932,19265090+3809336,1.499
2992350,19280531+3806147,1.647
2993958,19292894+3808438,1.718
2994493,19295684+3809083,0.976
2995130,19303091+3809429,2.129
2995197,19303457+3810476,1.027
2995753,19310153+3809508,1.129
2996019,19311597+3809168,1.145
2996112,19312076+3810229,1.090
2998532,19332416+3808373,1.186
3096473,19012952+3812423,1.071
3098045,19034948+3812416,1.250
3098179,19035980+3815152,1.003
3098716,19044513+3817311,0.894
3099834,19062088+3816069,1.079
3099949,19063040+3815359,1.056
3100053,19063888+3814040,0.916
3100193,19064911+3812223,1.232
3100505,19071698+3812351,1.062
3101090,19080373+3816090,1.225
3101632,19085244+3816370,1.155
3102230,19094208+3814048,1.296
3102386,19095499+3815097,1.238
3102411,19095722+3813515,0.958
3102479,19100327+3817519,1.463
3103320,19110992+3813480,1.195
3103685,19113640+3815554,1.157
3103827,19114745+3817475,0.992
3109520,19183941+3815099,1.184
3110460,19193980+3816377,0.869
3110626,19194889+3816529,1.058
3110733,19195432+3815128,1.559
3111383,19203353+3817329,1.052
3111815,19210162+3814188,1.339
3111831,19210245+3812541,1.203
3112021,19211410+3812367,1.685
3112182,19212463+3816104,0.983
3113433,19224315+3816298,1.206
3113648,19225602+3816041,1.152
3113818,19230711+3812168,1.447
3113915,19231367+3814075,1.394
3114215,19233205+3816149,1.125
3114408,19234415+3813463,1.391
3115946,19251454+3815181,1.484
3116604,19255276+3814075,1.965
3118806,19274878+3813108,0.951
3119526,19282605+3813491,1.464
3119555,19282751+3817054,1.311
3120486,19291841+3812145,1.633
3120585,19292399+3813101,1.783
3120889,19294102+3813447,1.594
3121427,19301247+3814040,1.051
3121940,19304110+3814357,1.004
3122185,19305546+3815037,2.282
3122548,19311478+3813001,1.126
3123653,19321799+3813169,1.083
3128866,19365334+3812505,2.254
3129312,19371664+3815052,1.048
3130335,19380803+3813394,1.127
3215565,19004236+3822120,1.027
3216467,19020873+3821317,1.097
3216638,19022742+3818565,0.982
3216716,19023660+3820586,1.040
3217051,19030505+3820112,1.214
3218312,19050281+3823250,1.215
3218930,19060064+3822289,1.150
3219744,19071083+3822171,1.166
3220837,19084810+3820409,1.786
3221086,19091282+3821391,1.182
3221239,19092441+3818002,1.238
3222220,19104824+3818427,1.229
3222240,19104970+3823101,1.068
3222519,19111347+3820199,1.884
3222670,19112583+3819562,1.367
3222740,19113065+3823483,1.462
3222834,19113725+3823205,1.040
3230719,19205771+3818582,1.558
3231208,19212903+3821053,0.824
3231503,19215076+3820311,1.941
3232813,19232376+3820581,1.184
3232838,19232529+3821466,1.431
3234655,19252562+3818092,1.641
3234666,19252648+3822227,1.407
3234703,19252877+3821271,2.271
3235616,19262249+3822579,2.170
3236108,19265064+3821000,1.455
3236379,19270639+3823310,1.360
3236748,19272841+3823596,0.917
3237572,19281864+3818277,1.356
3238303,19290453+3819358,1.051
3238626,19292318+3821329,0.754
3238859,19293605+3822505,1.820
3238956,19294188+3820283,1.172
3239258,19295826+3818221,0.852
3240119,19304873+3818432,1.386
3240670,19312295+3822115,1.539
3241374,19320616+3818346,1.548
3241947,19324316+3818052,1.424
3242122,19325407+3819319,1.226
3242233,19330048+3819317,1.225
3247334,19374741+3822392,1.077
3247570,19375948+3821077,1.546
3248697,19385820+3823129,1.073
3248982,19391271+3819540,1.310
3323401,19013095+3829145,1.027
3323943,19022255+3829390,1.202
3325179,19042353+3828052,1.192
3326233,19060077+3829386,1.147
3326392,19061556+3827459,1.117
3326790,19065295+3829474,0.899
3336731,19194691+3824269,1.615
3337536,19203924+3826210,1.002
3337581,19204249+3828230,1.751
3337740,19205193+3825594,1.383
3338252,19212467+3826351,1.376
3339519,19225570+3829124,0.994
3339894,19232223+3826312,1.818
3341498,19250809+3829183,1.751
3342658,19261764+3824435,1.325
3343186,19265003+3826277,1.138
3343621,19271533+3828186,1.106
3343630,19271603+3828470,1.235
3343931,19273205+3826255,1.524
3346227,19294709+3824185,1.108
3346398,19295659+3825045,1.577
3346501,19300393+3824150,1.024
3346779,19302254+3826160,0.908
3347054,19304004+3824299,1.184
3347146,19304639+3829364,0.845
3348070,19314045+3829592,1.329
3348134,19314453+3824456,1.206
3355015,19382715+3827580,1.217
3356438,19394318+3828431,2.284
3356643,19395403+3828107,1.205
3424072,18595946+3835219,1.428
3424105,19000206+3832494,1.349
3424384,19002721+3835321,0.832
3425044,19013539+3835288,1.033
3425217,19015345+3831261,1.160
3425476,19021896+3835545,1.528
3425675,19023891+3835251,1.153
3426673,19040751+3833066,1.305
3426898,19042962+3835044,1.081
3427629,19053643+3830125,1.099
3427850,19055584+3835278,1.099
3428447,19065146+3832365,1.431
3428530,19065821+3832051,1.100
3429018,19074610+3834310,1.472
3429176,19075845+3834270,1.155
3429364,19081563+3832550,1.018
3429738,19084683+3835523,1.000
3430048,19091460+3835559,2.527
3430379,19094347+3830343,1.341
3431022,19104036+3833285,1.294
3431244,19110064+3832088,1.198
3432732,19125731+3834515,2.917
3432802,19130311+3834596,1.348
3437742,19190977+3834098,1.127
3438609,19200564+3834338,2.564
3439353,19205281+3830283,1.397
3439356,19205294+3831403,1.398
3439466,19205966+3834159,1.036
3440249,19215430+3831133,1.063
3441184,19230440+3834096,1.002
3441207,19230592+3833230,1.174
3441473,19232529+3833418,0.992
3443483,19253516+3832018,1.469
3444029,19261056+3834019,1.425
3444374,19263222+3830564,1.133
3445572,19274349+3835339,1.460
3448729,19305785+3830430,0.890
3449870,19320182+3830132,1.413
3449907,19320483+3834476,1.325
3453419,19352770+3835254,1.673
3454626,19363912+3834080,1.215
3455146,19371027+3833366,1.895
3455760,19374569+3835356,1.407
3455843,19375076+3833246,1.666
3456313,19381772+3831436,1.970
3456449,19382504+3830135,1.876
3457434,19391884+3832183,1.072
3457618,19392860+3831486,1.746
3458097,19395332+3833258,1.586
3458387,19400736+3832007,1.296
3458643,19401962+3831015,2.891
3458703,19402192+3833078,1.186
3459109,19404372+3830503,1.789
3525541,18595188+3839350,0.827
3526061,19004471+3836399,1.274
3526625,19014365+3840029,1.124
3526995,19022229+3841116,1.240
3527032,19022606+3837425,1.365
3527708,19033352+3836021,0.874
3527891,19035108+3840253,1.316
3528656,19050492+3839005,1.193
3529097,19054550+3836148,1.245
3529276,19060125+3839521,1.517
3529399,19061183+3838086,1.124
3529480,19061973+3838374,1.625
3529597,19063175+3840417,1.979
3530520,19075613+3839270,1.455
3530823,19082428+3836125,1.770
3530942,19083517+3836144,1.277
3531436,19091775+3836131,1.370
3531478,19092089+3838265,1.353
3532085,19101556+3836408,1.064
3532113,19101852+3837462,1.194
3532734,19111567+3838265,1.443
3532985,19113963+3838268,2.012
3533464,19122505+3839187,1.275
3533480,19122612+3837382,0.918
3539408,19194946+3840506,1.551
3539429,19195115+3841500,1.177
3539897,19202303+3839559,1.045
3541061,19213801+3837278,1.392
3541631,19221645+3839530,0.924
3541897,19223680+3840345,2.057
3543433,19242518+3840446,1.325
3543722,19244386+3841306,0.907
3543887,19245554+3837135,1.113
3544637,19254348+3837073,1.142
3544887,19260141+3840129,1.253
3544987,19260840+3839256,1.064
3545033,19261178+3836085,1.354
3545147,19261850+3838331,1.575
3546046,19271321+3838527,1.238
3547041,19281556+3840132,1.246
3547236,19282834+3841228,1.169
3547488,19284379+3837419,1.248
3548732,19300208+3841340,1.773
3553319,19343241+3840480,1.854
3553529,19344478+3839257,1.555
3555292,19362659+3841339,1.872
3555594,19364602+3840183,1.378
3556801,19375671+3837221,1.103
3559502,19402099+3836566,1.206
3560093,19405262+3836194,2.105
3560181,19405762+3840384,1.201
3629684,19050543+3843133,1.334
3631092,19071907+3843427,1.596
3631402,19074964+3847308,1.722
3631821,19082717+3845234,1.913
3633057,19102671+3846290,1.300
