kic,tmass_id,mass
5612549,19180824+4051167,0.997
5613099,19184717+4052099,1.172
5613241,19185877+4048238,1.199
5615439,19213172+4052395,0.894
5616250,19223506+4051227,0.997
5616489,19225487+4051594,0.910
5616851,19231975+4053206,1.759
5617324,19235532+4049256,1.517
5620596,19280102+4050138,1.616
5620636,19280384+4051558,1.297
5620654,19280532+4049342,0.942
5620671,19280696+4049299,1.049
5620720,19281060+4048488,1.905
5622103,19295292+4053046,0.915
5622780,19303904+4051184,1.212
5623097,19310141+4048064,1.347
5623391,19312356+4050563,1.558
5623444,19312747+4050082,1.055
5623569,19313573+4050529,0.996
5629783,19384478+4049062,1.022
5630175,19390826+4048250,1.032
5630500,19392781+4053507,1.547
5636780,19452751+4051118,1.064
5637036,19454161+4053328,1.938
5637392,19455943+4049431,1.266
5638865,19471570+4049089,1.592
5639438,19474353+4051279,1.644
5640843,19485221+4052272,1.159
5641322,19491720+4050529,1.460
5645576,19525310+4048265,1.198
5645845,19530799+4048499,1.043
5647719,19543809+4051119,1.595
5650420,19564582+4049215,1.408
5651262,19572366+4050461,1.801
5653970,19592808+4048209,1.461
5682548,18503900+4055336,1.100
5685000,18552997+4058592,1.044
5685237,18555805+4055455,1.218
5685279,18560337+4058260,0.829
5686036,18573794+4055229,1.188
5688694,19024668+4056040,1.121
5689343,19035922+4054350,2.084
5689606,19043278+4056316,1.629
5689750,19044822+4055258,1.101
5693324,19105180+4055153,1.984
5693454,19110535+4056375,1.037
5694017,19120002+4056074,1.181
5694720,19130136+4057375,1.709
5696539,19154525+4054282,0.977
5698093,19175104+4055364,1.167
5698156,19175558+4056477,1.274
5701051,19212516+4059400,1.346
5702180,19225100+4058232,1.737
5702382,19230770+4057472,1.559
5703348,19242515+4056565,1.289
5706341,19282096+4059332,2.614
5706724,19285078+4054466,1.428
5706760,19285310+4054442,1.519
5707115,19291945+4054207,1.015
5707416,19294032+4058261,0.927
5707560,19295053+4057040,1.098
5709265,19315509+4054299,1.177
5709564,19321853+4058217,0.895
5709667,19322573+4059389,1.371
5715911,19392935+4059446,2.184
5717058,19404257+4059512,1.791
5717541,19411612+4058298,1.452
5721762,19450323+4055419,1.601
5721975,19451370+4058445,2.203
5722012,19451563+4056101,1.837
5722272,19452881+4058196,1.518
5722826,19455747+4058232,1.359
5723909,19465321+4058004,1.538
5724947,19474561+4055084,1.341
5726892,19492416+4055032,1.773
5726966,19492734+4054564,0.819
5728401,19503438+4057368,1.420
5728553,19504147+4057026,1.867
5728738,19504914+4059171,1.378
5730384,19521436+4056192,1.200
5730703,19523128+4058507,1.889
5730952,19524424+4055065,2.020
5731385,19530455+4057084,0.934
5731766,19532350+4056298,1.785
5731852,19532762+4054051,1.270
5731891,19532957+4058109,1.803
5732418,19535420+4055171,1.069
5732922,19541721+4059297,1.285
5733555,19544486+4056532,2.814
5733975,19550618+4057400,2.590
5734092,19551206+4055570,2.903
5734154,19551522+4058463,2.110
5734838,19555019+4054042,1.882
5735779,19563451+4058476,1.311
5736093,19564935+4054389,2.336
5736841,19572343+4054357,2.550
5736877,19572494+4057237,1.148
5736976,19573015+4057423,0.948
5739098,19591150+4054452,2.440
5768075,18512484+4100244,1.380
5768953,18530427+4105484,1.090
5769244,18534059+4102118,1.085
5770031,18550880+4105400,1.196
5770637,18561776+4103062,1.309
5770923,18565279+4101153,2.082
5771513,18581082+4105172,0.759
5772710,19003429+4103432,1.205
5773063,19011386+4100430,1.223
5774558,19040181+4105130,1.216
5774568,19040326+4103031,1.269
5774861,19043344+4103026,1.150
5779724,19123427+4105257,0.864
5780142,19131310+4102517,0.912
5780424,19133598+4102150,1.497
5780614,19135189+4101101,1.280
5780782,19140896+4105495,1.058
5780828,19141322+4105226,1.160
5781782,19153575+4103360,1.392
5781901,19154669+4103576,1.182
5782127,19160497+4102351,1.255
5782671,19164828+4101443,1.365
5782792,19165694+4105055,1.065
5784094,19183794+4102522,1.495
5785268,19200201+4104077,1.330
5785573,19202261+4100425,0.839
5785710,19203177+4104010,0.936
5787509,19223964+4101285,1.114
5788354,19234777+4105145,1.292
5791045,19272495+4101267,1.092
5791135,19273103+4104518,2.050
5791844,19282852+4100385,1.803
5791889,19283210+4104584,1.713
5792421,19291190+4103560,1.648
5793427,19302545+4105344,1.451
5793628,19304093+4104063,2.522
5794100,19311995+4105084,1.192
5795250,19323899+4104346,1.349
5795475,19325781+4102349,1.310
5795626,19330865+4103086,1.296
5801446,19393218+4102300,0.919
5802797,19410234+4101252,1.319
5806522,19442871+4103173,1.156
5808398,19460536+4102079,1.359
5808438,19460706+4103425,3.101
5809445,19470115+4102089,2.174
5810333,19475057+4101032,0.944
5810513,19480054+4105568,1.432
5811766,19490669+4101352,1.800
5812955,19500072+4100405,0.965
5814204,19505951+4103456,1.502
5816145,19524659+4100525,1.655
5816923,19532632+4101110,1.754
5817028,19533029+4103015,1.964
5820359,19560456+4103248,1.428
5822232,19572812+4101357,1.306
5822936,19580014+4104422,1.410
5854149,18514014+4107296,1.549
5855568,18542630+4108397,1.292
5856737,18564252+4106147,1.077
5856931,18570612+4106186,0.993
5857548,18582642+4111593,1.043
5857618,18583415+4110232,1.698
5857724,18584828+4108138,0.921
5858034,18592445+4108444,1.357
5858641,19003896+4107044,1.114
5858947,19011396+4109061,0.946
5859492,19021718+4107236,1.324
5860093,19032151+4107103,0.955
5866138,19135012+4106294,2.231
5866537,19142689+4109216,1.336
5866737,19144699+4111412,1.283
5866945,19150344+4111550,1.407
5866965,19150476+4109509,1.155
5867450,19154185+4109198,1.191
5867990,19162482+4111374,1.323
5869293,19180929+4106270,1.151
5869538,19182613+4107271,1.214
5869785,19184222+4110116,1.226
5872236,19214904+4109026,1.020
5872509,19220847+4108072,1.388
5876758,19274808+4106292,1.295
5879112,19305370+4109057,0.853
5879728,19313787+4108120,1.869
5879876,19314822+4106000,1.087
5882005,19342102+4106113,1.334
5882210,19343487+4107568,1.442
5891971,19444187+4111514,0.779
5891982,19444281+4111043,1.244
5892369,19450489+4109386,1.312
5893765,19461798+4109158,1.255
5893926,19462689+4108529,1.400
5894271,19464701+4110311,0.991
5896480,19484627+4109409,1.221
5899383,19511202+4109421,2.298
5899642,19512352+4106247,1.424
5903484,19544774+4106066,1.656
5905600,19562716+4107029,0.933
5905655,19562955+4107354,1.140
5905736,19563448+4107135,1.517
5905907,19564396+4107329,0.994
5906289,19570381+4106270,1.615
5937398,18502600+4114577,1.055
5938430,18521894+4116496,1.144
5940060,18552193+4113552,0.979
5940068,18552281+4117593,1.098
5940587,18562527+4117564,1.340
5943345,19015661+4114403,2.221
5943448,19020822+4112208,1.088
5944493,19040639+4117492,1.274
5950668,19145245+4115440,1.127
5952890,19174327+4115540,1.130
5953450,19182272+4114094,0.940
5953709,19184297+4116516,2.556
5954815,19200532+4117062,1.259
5956105,19214254+4112564,1.852
5956977,19225228+4114503,1.401
5959615,19262337+4115291,1.244
5960552,19273821+4115333,1.051
5960710,19275036+4116047,1.765
5961015,19281517+4114540,2.246
5962031,19293312+4113497,1.032
5962451,19300442+4113270,1.362
5962470,19300612+4113038,1.215
5963732,19314375+4117383,0.883
5964042,19320418+4113013,1.120
5964634,19324099+4116492,1.014
5965040,19330984+4112543,1.811
5966386,19344658+4112215,1.889
5967194,19353995+4114311,1.267
5976238,19444489+4116177,1.792
5976798,19451285+4115593,1.894
5977341,19454254+4112476,2.520
5977508,19455218+4116087,1.734
5981329,19491458+4114213,1.443
5981666,19493102+4114177,2.176
5981697,19493249+4112196,1.307
5982708,19502359+4113232,2.932
5983251,19505108+4115537,0.974
5983299,19505364+4114355,2.003
5985218,19523941+4114025,2.033
5990753,19571332+4115486,2.578
6023638,18573152+4120076,1.112
6024360,18585965+4121043,1.148
6025031,19002449+4118553,1.111
6025641,19013305+4120025,1.470
6026188,19023579+4120528,1.026
6026983,19040060+4119524,1.298
6032639,19141495+4118432,1.746
6033938,19160587+4118060,1.110
6034166,19162563+4118371,1.391
6037102,19202505+4123008,1.094
6037660,19210265+4122375,0.924
6037811,19211137+4120306,1.522
6037858,19211548+4121561,1.641
6038302,19214777+4118457,1.214
6041223,19254315+4123529,1.191
6041575,19261267+4121562,0.922
6043187,19281692+4123262,1.186
6044054,19292368+4122153,0.973
6045141,19303857+4118421,1.369
6045299,19304949+4119045,1.117
6045509,19310524+4123342,1.205
6047339,19332273+4121049,1.391
6047683,19334566+4123242,1.428
6048671,19345670+4123336,0.873
6048862,19350968+4122030,1.665
6049399,19354593+4118214,1.206
6049459,19355054+4118249,1.723
6057532,19441366+4122541,1.764
6058104,19444487+4119053,1.195
6058700,19451847+4118574,1.448
6058941,19453138+4119422,1.093
6060867,19472001+4122451,1.394
6060903,19472249+4121578,1.316
6061867,19480992+4123269,1.134
6063745,19495293+4119301,1.034
6067314,19532106+4123317,1.967
6067958,19540427+4120098,1.150
6067987,19540665+4118111,1.610
6070366,19560486+4122241,2.753
6070419,19560786+4119507,1.311
6100524,18501911+4125493,0.998
6100831,18505215+4124346,0.933
6101471,18515662+4127143,1.295
6103082,18550910+4129127,1.286
6103934,18564594+4128038,1.544
6104786,18583466+4128296,1.083
6106895,19023424+4126290,1.173
6113813,19143634+4124139,1.933
6114108,19150275+4125281,1.193
6114507,19153694+4124053,1.131
6115575,19170647+4124420,1.475
6116517,19182208+4124417,1.115
6116940,19185353+4128369,1.688
6117196,19191124+4128296,1.076
6117517,19193459+4128508,1.192
6118479,19204433+4127158,1.500
6118670,19205970+4125135,1.206
6118789,19210781+4126134,1.155
6119774,19221779+4129234,1.308
6122562,19260235+4126329,1.175
6122627,19260838+4124570,1.669
6122692,19261186+4126347,1.214
6122976,19263306+4126531,1.823
6123202,19265137+4127442,1.251
6124244,19281105+4124491,0.806
6125862,19300965+4129586,1.453
6125893,19301223+4128369,1.300
6126168,19303460+4129510,0.835
6126628,19310992+4128246,1.227
6126808,19312288+4126557,1.169
6127825,19323801+4124499,2.219
6128337,19331465+4129493,1.227
6128428,19332147+4125147,1.761
6128774,19334555+4125397,1.634
6128903,19335553+4129531,1.048
6129293,19342428+4129272,1.290
6129411,19343272+4124599,2.487
6129581,19344503+4126029,1.753
6129632,19344780+4124079,2.413
6130405,19354150+4127290,1.386
6130752,19360671+4126238,2.353
6131884,19372243+4127269,0.818
6139471,19445634+4124300,1.616
6139561,19450143+4127597,1.735
6140030,19452417+4125575,1.432
6140132,19453024+4129593,1.558
6140748,19460292+4126542,1.070
6140947,19461437+4125593,1.706
6141488,19464444+4124214,1.507
6142229,19472438+4125183,2.191
6142932,19475672+4124105,1.536
6142964,19475850+4127172,1.226
6144777,19493651+4124143,1.130
6148227,19525271+4127446,2.636
6153373,19571102+4125046,2.217
6181896,18503265+4135547,1.635
6183311,18531247+4132397,1.155
6185317,18570421+4135218,1.142
6185790,18575722+4131323,1.098
6185964,18581868+4133353,0.873
6186435,18591603+4134463,1.151
6188215,19024176+4133217,2.112
6188269,19024815+4135564,2.009
6191190,19080585+4131023,1.292
6191288,19081505+4134559,1.138
6192043,19092930+4133249,2.400
6192431,19100594+4133354,1.305
6196149,19155691+4132432,1.130
6196950,19170496+4133454,1.078
6197019,19171026+4135505,1.010
6197448,19174925+4131457,1.847
6198123,19184109+4134029,1.014
6198476,19190563+4134051,1.555
6198581,19191281+4132320,1.499
6200178,19210391+4130565,1.647
6200565,19212957+4133481,1.390
6201050,19220622+4130431,1.213
6203503,19252551+4133229,0.863
6206407,19291019+4133309,1.419
6207510,19303218+4130299,1.255
6208018,19310970+4130399,1.123
6208344,19313319+4132494,1.715
6208846,19321182+4132529,1.464
6209377,19324967+4135155,1.287
6209759,19331826+4133406,1.537
6210264,19335608+4133314,1.478
6210900,19344369+4132594,1.488
6211529,19352587+4134182,1.336
6211965,19355461+4135577,1.166
6212600,19363575+4132185,1.508
6212708,19364204+4135524,1.605
6212838,19365123+4133350,0.992
6220320,19443002+4132317,1.165
6220899,19450118+4135207,1.195
6221641,19454022+4132450,1.521
6222262,19461319+4135365,1.643
6222355,19461802+4132267,1.481
6222530,19462827+4131020,1.335
6225344,19485774+4133437,1.072
6225660,19491405+4134233,1.389
6225752,19492033+4132509,1.242
6227242,19504089+4133247,1.611
6228364,19515544+4134064,1.010
6228590,19520864+4135214,1.094
6229677,19530362+4131365,1.794
6231096,19541358+4131579,1.330
6231237,19542042+4134283,0.963
6232858,19554265+4131218,1.755
6232914,19554580+4132096,1.967
6262706,18501318+4139450,1.486
6262867,18503337+4140460,0.966
6263410,18513532+4139235,2.312
6264398,18533528+4136113,1.017
6266772,18580921+4141587,1.207
6267800,19001248+4140485,1.536
6271732,19075561+4136535,1.073
6271877,19081014+4140429,0.976
6271966,19082032+4141512,1.144
6272933,19100506+4138434,1.658
6272964,19100945+4139472,0.891
6273063,19102162+4138243,1.380
6273090,19102508+4136492,1.711
6276645,19161229+4139153,1.255
6276898,19163450+4140329,2.032
6276948,19163847+4137316,2.179
6277049,19164808+4136262,1.265
6277741,19174660+4141565,1.110
6279038,19191819+4139573,0.789
6279068,19192037+4140276,1.238
6279491,19195228+4140442,0.865
6280472,19210603+4136547,1.255
6280589,19211472+4138453,1.146
6280936,19213971+4140289,1.607
6283618,19251780+4141239,1.280
6283995,19254929+4137560,1.354
6284459,19262677+4138411,1.297
6286142,19283944+4139146,1.200
6287950,19310099+4137150,1.298
6288543,19314672+4138277,0.858
6289002,19322353+4137150,1.142
6289417,19325667+4140272,0.782
6289527,19330488+4136084,0.910
6289573,19330819+4138328,1.055
6291110,19345464+4139572,1.890
6294290,19382956+4139335,1.646
6302852,19465188+4140126,1.743
6303699,19473553+4136306,1.392
6304676,19482558+4139121,1.590
6304807,19483210+4137366,1.243
6304895,19483629+4139134,2.066
6305709,19491731+4137234,1.213
6307578,19510471+4141161,1.279
6307920,19512558+4141455,1.062
6308030,19513223+4137210,1.618
6308068,19513459+4141345,1.469
6309307,19524727+4139016,2.146
6309488,19525688+4136381,2.255
6309549,19525998+4140144,1.482
6311518,19544254+4141373,1.342
6311997,19550704+4141101,1.290
6312478,19553002+4137168,1.074
6313603,19562964+4138282,1.286
6341990,18504890+4143597,1.058
6343222,18530969+4142106,1.135
6343543,18534964+4147074,1.390
6344499,18555124+4144292,0.789
6345145,18570475+4144198,1.393
6345456,18574234+4142021,1.072
6345474,18574558+4143206,1.066
6346443,18593829+4143483,1.297
6347518,19014745+4142142,1.359
6350696,19075205+4142098,1.325
6350918,19081560+4142455,1.051
6352802,19113258+4142045,1.318
6356038,19163852+4143274,1.645
6356581,19172456+4146275,2.316
6357879,19185998+4144505,1.600
6358455,19194620+4144412,1.168
6358570,19195596+4147099,1.394
6358695,19200557+4144031,1.234
6359105,19203415+4143464,1.253
6359454,19210192+4147556,1.173
6359890,19213266+4145010,1.243
6360104,19214893+4142055,0.983
6363090,19260208+4142358,1.510
6363109,19260335+4147158,1.317
6363338,19262018+4146238,1.444
6365511,19291040+4147169,0.961
6365867,19293614+4147185,1.000
6367815,19321106+4143342,1.683
6368363,19324886+4147405,0.964
6368800,19332112+4142328,1.809
6369548,19341621+4145503,1.272
6369774,19343102+4143536,1.237
6370549,19352687+4147051,1.135
6371008,19355858+4144575,1.147
6371141,19360762+4146588,2.803
6371980,19370638+4144203,2.875
6372328,19372957+4146226,1.594
6380975,19461720+4145598,1.197
6382244,19472769+4147036,1.397
6382801,19475621+4144134,1.474
6382830,19475813+4147236,2.238
6383228,19481954+4144003,2.279
6383574,19483757+4147189,1.525
6383953,19485822+4143053,2.141
6384492,19492733+4146438,1.205
6385325,19501497+4142095,1.879
6385534,19502794+4145527,1.574
6385953,19505726+4146269,1.399
6390781,19550865+4144444,1.635
6391933,19560561+4146000,1.028
6421579,18522063+4149520,0.867
6422994,18550344+4153087,2.056
6423690,18562944+4153250,1.277
6424157,18572604+4153384,1.217
6425301,18594626+4152101,1.051
6425652,19003006+4152031,1.021
6428602,19060522+4149200,1.055
6428974,19064536+4149347,1.394
6429457,19073668+4152330,1.112
6429747,19080870+4149485,1.611
6429995,19083481+4148585,1.060
6430534,19093545+4153417,1.061
6430834,19100689+4153510,1.313
6431941,19115925+4153351,0.984
6435542,19172949+4148048,1.139
6435786,19174953+4152233,1.180
6436353,19183634+4150142,1.463
6437547,19200956+4148050,1.760
6441442,19251701+4149215,1.294
6443407,19275986+4151300,1.281
6444595,19293729+4150132,1.316
6445497,19304751+4151063,1.493
6447498,19331623+4149290,1.280
6447552,19332058+4151537,0.960
6447817,19334137+4153587,1.263
6447883,19334574+4153339,1.083
6448010,19335529+4149431,1.308
6448230,19341126+4151437,2.212
6448697,19344865+4152000,1.191
6448890,19350200+4152187,1.349
6450613,19370538+4149198,2.392
6451229,19374719+4153072,1.353
6451238,19374791+4150054,1.053
6451495,19380487+4151076,1.119
6462755,19491374+4150473,1.557
6465075,19512404+4149284,1.372
6465610,19515130+4152493,1.668
6467408,19532680+4151395,1.141
6467645,19533832+4150379,1.322
6467788,19534513+4152189,1.239
6468112,19540198+4151496,1.767
6468506,19542196+4153348,0.886
6469446,19551320+4149376,1.034
6470560,19560750+4149238,1.874
6500038,18522431+4157010,1.045
6500623,18532963+4157352,1.313
6501237,18543598+4155476,1.278
6501676,18552344+4159111,1.049
6501869,18554547+4159579,1.097
6502765,18572113+4155168,0.948
6502800,18572618+4158115,1.226
6502831,18572894+4159159,0.744
6502960,18574089+4155342,0.934
6503502,18583785+4157210,1.270
6504411,19002562+4159511,0.947
6504725,19010229+4158216,1.263
6504840,19011531+4156051,1.145
6504978,19013263+4155491,1.295
6505025,19013837+4159020,1.125
6507794,19063897+4155119,0.978
6508300,19073657+4159079,1.175
6508328,19073954+4158012,1.426
6508804,19082742+4157503,1.014
6508943,19084335+4159053,1.195
6509721,19100669+4154193,1.357
6510447,19112003+4154295,1.356
6515734,19185908+4157270,1.141
6516242,19193683+4156239,1.804
6521069,19253409+4156071,0.859
6521522,19260540+4156109,1.052
6521571,19260898+4154494,1.250
6522182,19265764+4155072,1.112
6522571,19272865+4159469,1.402
6525150,19304868+4159486,1.177
6525916,19314657+4158179,1.068
6526377,19321915+4156518,1.418
6526417,19322292+4155588,1.064
6526657,19323934+4158514,0.922
6528720,19351438+4155227,1.572
6528942,19353006+4159579,1.563
6530065,19364753+4156217,2.283
6530242,19370044+4156429,1.491
6531550,19382546+4159266,1.675
6543282,19494743+4154113,1.302
6546685,19524068+4157224,1.531
6546755,19524418+4158489,2.177
6547007,19525719+4158129,0.899
6547176,19530667+4158107,3.330
6548666,19541915+4157237,2.426
6549467,19550057+4157271,1.190
6550823,19560536+4158316,0.945
6551391,19563061+4155556,1.208
6579495,18455933+4202516,1.068
6579998,18470411+4205258,0.988
6580479,18480497+4201381,1.292
6583850,18541513+4202326,0.841
6584091,18544535+4201177,1.149
6584555,18553411+4201081,1.213
6585816,18574335+4204449,1.517
6586554,18585846+4205103,1.854
6587049,18595708+4203192,1.342
6587245,19002267+4201336,1.815
6587345,19003345+4203275,1.123
6587665,19010658+4205592,1.123
6587865,19012748+4202163,0.919
6590363,19054877+4205008,1.191
6590381,19055078+4204545,1.876
6590668,19061897+4202050,1.265
6590675,19061953+4200294,0.966
6590774,19063000+4205226,1.023
6591027,19065794+4200310,1.373
6591336,19072746+4204105,1.207
6591762,19080909+4205231,1.283
6592034,19083515+4202109,1.015
6592627,19093494+4204093,1.307
6593240,19103277+4203166,0.831
6593596,19110409+4202598,0.818
6593623,19110642+4200067,1.235
6594505,19122732+4202304,1.359
6595127,19132578+4201007,1.245
6603506,19240272+4202535,1.174
6604237,19245923+4200280,1.573
6605929,19270274+4204494,1.673
6606106,19271679+4202000,1.195
6606428,19274041+4203048,1.278
6606904,19281499+4205159,1.701
6609265,19305665+4200421,1.485
6610188,19320388+4204219,1.819
6610354,19321564+4202581,2.157
6610828,19324780+4201402,1.421
6611219,19331288+4202038,1.177
6612102,19341288+4204052,1.099
6612293,19342645+4202297,1.557
6612644,19345076+4201031,1.676
6613293,19353430+4202126,1.306
6613846,19360841+4202595,1.228
6614040,19362015+4205351,1.118
6614588,19365720+4205266,1.584
6615133,19373249+4203188,1.059
6615504,19375668+4205397,1.214
6620507,19425724+4205382,1.703
6620987,19432084+4205292,1.126
6628766,19502076+4201154,1.822
6629205,19504375+4204210,1.729
6629315,19504878+4205216,1.457
6630797,19515988+4203227,0.927
6631489,19523249+4200230,1.609
6632882,19533792+4203457,2.111
6633766,19541761+4200244,1.390
6634762,19550651+4202457,1.537
6635892,19560000+4202164,0.922
6664431,18451278+4208537,2.163
6664533,18452413+4209269,1.154
6664950,18462046+4207593,1.493
6665058,18463498+4208233,1.011
6665526,18473766+4206054,1.340
6666229,18490790+4211488,0.758
6672662,19003694+4207013,1.272
6676597,19073005+4206225,1.182
6676788,19074870+4210565,0.847
6676885,19075775+4207339,1.183
6677653,19091332+4209209,2.548
6678322,19101979+4209464,0.745
6678428,19103001+4211047,1.172
6678432,19103023+4207458,1.163
6678433,19103066+4208568,1.549
6678472,19103523+4211192,1.283
6679278,19114612+4211592,1.217
6679464,19115988+4207413,1.307
6680386,19131951+4208562,1.078
6680734,19135163+4211223,1.090
6681414,19144957+4209355,1.007
6681465,19145375+4211151,1.108
6681565,19150115+4210347,1.415
6688318,19232207+4210592,2.129
6688580,19234117+4206085,1.673
6689398,19244484+4206243,1.373
6689517,19245403+4207450,1.098
6690139,19253918+4211134,1.498
6693329,19293454+4207427,1.064
6695665,19321255+4206062,1.945
6696387,19325700+4211456,1.015
6696436,19330045+4210000,1.090
6700106,19364798+4210415,1.401
6700113,19364843+4209232,2.625
6700591,19371656+4207249,1.333
6701023,19374323+4206079,0.966
6701238,19375695+4210015,0.852
6705642,19421087+4207154,1.623
6706559,19425558+4210509,1.958
6706980,19431977+4206464,1.577
6707195,19433233+4209301,1.191
6707691,19435944+4210279,2.504
6708078,19442140+4210224,1.150
6717307,19522434+4211213,1.749
6718029,19530106+4206298,1.808
6718509,19532348+4208471,1.204
6720476,19545865+4208094,1.448
6721721,19555483+4208399,1.878
6751420,18461319+4215352,1.123
6751876,18471977+4213062,1.095
6752116,18474873+4215142,1.054
6755373,18535856+4215473,1.292
6755830,18545053+4217470,1.508
6755907,18545958+4214396,0.990
6755958,18550412+4217557,1.017
6756017,18551116+4214414,1.131
6756579,18561171+4213291,2.177
6756648,18561910+4213152,2.630
6756908,18564337+4213100,1.059
6757332,18573235+4213557,1.091
6757558,18574915+4212172,1.110
6757928,18582830+4214338,2.181
6761256,19042891+4215228,1.581
6761651,19051267+4214135,1.558
6762022,19055460+4215348,1.576
6762434,19063913+4214530,1.090
6762612,19065686+4214084,1.519
6762849,19072155+4217246,1.016
6763330,19080490+4216301,1.279
6764026,19090940+4214129,1.246
6764229,19093064+4213252,1.064
6764262,19093404+4215361,1.089
6764361,19094434+4212147,1.155
6764382,19094601+4214088,1.249
6764685,19101589+4215176,1.307
6765032,19104842+4214142,0.730
6765408,19112381+4213248,1.243
6766118,19122811+4216241,2.259
6766852,19133497+4217382,0.977
6767249,19140933+4217262,1.330
6767829,19150447+4214485,1.008
6768042,19152019+4216038,1.470
6768319,19154418+4214021,1.126
6768355,19154757+4217228,1.401
6768448,19155480+4214245,1.984
6768654,19161506+4217079,1.305
6774693,19235193+4216156,1.260
6775098,19242503+4216089,1.175
6776396,19260368+4216368,1.255
6777074,19265663+4214568,1.165
6777790,19274633+4217098,1.021
6777888,19275361+4212016,0.988
6777971,19280046+4213570,2.113
6779009,19291451+4213316,1.108
6779699,19300565+4216327,1.113
6780490,19310121+4216595,1.517
6781023,19314358+4214390,1.083
6783485,19342341+4217478,1.074
6784377,19352552+4217402,2.083
6785040,19360771+4213253,1.125
6785523,19363685+4217190,1.794
6786042,19370827+4215155,1.408
6786075,19371042+4212163,1.242
6786177,19371689+4215280,1.373
6786398,19373151+4216280,2.627
6790382,19413447+4217052,1.478
6790938,19420415+4217112,2.830
6791309,19422455+4214116,1.069
6791445,19423291+4212260,1.825
6804138,19533008+4216116,1.890
6805631,19544590+4215202,1.242
6836321,18443911+4223266,1.280
6837256,18464309+4223144,1.340
6837573,18472579+4218133,1.180
6838375,18490561+4220324,1.198
6838420,18491043+4223204,1.189
6838707,18494647+4222247,1.194
6841322,18543771+4221161,1.217
6841449,18544891+4220482,1.121
6842204,18561591+4223049,1.139
6842824,18572734+4222569,1.114
6842918,18573641+4223234,1.378
6843557,18584292+4220541,1.470
6843705,18590067+4221056,1.422
6844293,19000542+4219388,0.921
6844373,19001533+4220333,1.130
6847371,19054735+4221458,0.953
6849148,19084273+4223419,2.014
6849167,19084459+4219482,1.186
6849932,19095490+4219489,0.957
6850177,19101634+4221543,1.430
6850417,19103857+4218474,1.414
6851401,19121421+4221223,2.697
6851499,19122254+4223498,1.005
6853127,19145090+4223002,1.173
6853266,19150273+4222495,1.210
6853465,19152052+4218256,1.622
6853779,19154676+4220374,1.182
6854095,19161194+4220362,1.136
6854391,19163509+4220109,2.059
6859803,19231283+4219574,1.247
6860004,19232956+4223492,1.632
6860096,19233651+4222598,1.335
6860649,19241603+4222367,1.132
6861403,19251557+4223262,1.653
6863017,19271397+4220163,1.157
6863185,19272602+4221542,1.442
6863899,19281824+4219435,1.073
6864995,19293385+4220163,1.389
6865501,19300892+4223533,1.253
6866149,19305216+4218146,1.753
6866587,19312371+4220456,1.504
6869093,19341643+4219210,0.984
6870779,19361289+4223414,1.077
6871105,19363453+4220105,1.002
6871472,19370020+4222392,1.033
6871557,19370506+4221265,1.013
6875474,19410413+4220151,1.007
6875569,19411027+4220548,2.255
6876162,19414029+4220365,1.648
6877259,19424116+4222587,0.959
6877290,19424282+4220499,2.116
6878002,19432085+4219113,1.311
6878041,19432339+4222240,2.025
6878398,19434356+4221168,1.331
6878403,19434377+4223232,1.045
6878800,19440588+4221343,0.962
6879830,19445796+4218042,1.138
6887430,19514877+4218181,1.280
6888638,19524749+4221469,1.748
6888756,19525399+4222159,1.285
6890257,19541144+4221089,1.215
6890433,19541998+4222053,1.892
6922899,18463836+4225471,0.990
6923677,18482034+4226016,2.048
6924105,18490724+4229073,0.967
6925109,18505779+4224043,0.959
6925158,18510323+4225335,1.495
6928997,18575865+4227316,1.385
6929280,18583627+4227550,1.170
6929729,18592976+4227206,1.501
6933666,19063556+4228102,1.204
6934127,19071886+4225408,1.260
6934780,19081807+4229236,0.877
6935260,19090418+4226487,1.265
6935850,19095925+4225483,0.789
6936091,19102014+4224247,1.011
6936796,19113041+4228395,0.817
6936990,19114965+4227250,1.466
6937017,19115274+4224206,1.730
6937257,19121457+4226044,1.080
6938892,19144374+4224369,1.242
6939158,19150753+4225056,1.326
6939484,19153560+4224421,1.081
6940048,19162196+4225587,1.059
6940380,19164694+4227079,1.151
6945727,19232738+4229489,1.595
6945941,19234447+4224106,1.543
6946219,19240678+4224207,1.184
6946519,19243309+4226413,1.368
6947706,19260423+4225025,1.227
6948001,19262932+4224369,1.129
6949816,19284844+4225519,1.004
6950753,19295971+4226324,1.177
6950976,19301584+4225243,1.179
6951680,19310854+4227571,1.095
6951925,19312837+4226024,1.510
6952140,19314396+4229003,1.267
6952355,19315849+4225524,1.362
6952430,19320477+4228463,1.306
6952984,19324244+4226165,1.286
6953271,19330378+4225125,1.431
6955215,19351839+4227223,1.335
6955286,19352295+4228336,1.088
6956481,19363934+4229515,2.193
6956582,19364641+4226061,1.718
6956701,19365546+4226563,0.884
6957157,19372248+4224276,1.635
6960601,19405553+4226025,2.175
6960978,19411750+4229543,1.918
6961060,19412158+4227507,1.334
6961071,19412198+4224354,1.377
6961680,19415316+4224350,1.758
6962291,19422545+4224307,1.324
6963528,19433473+4224057,1.344
6963897,19435433+4227478,1.063
6964342,19442142+4226151,1.276
6965362,19451972+4227207,1.544
6967600,19472104+4227387,1.556
6974745,19531606+4225547,1.071
